id,name,album,artist,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,mood
1RvDsjCBDTES3lPiEGNNMY,Adagio For Strings,Adagio For Strings,Lucas & Steve,197189,0.349,0.000877,0.793,0.431,0.22,0.0398,-6.748,0.0677,127.139,10,4,Energetic
6w0vhPaZBYjhrDobs3QE14,Adjustments,Adjustments,Josie Mehlin,182000,0.532,0.974,0.541,0.864,0.228,0.329,-11.932,0.0283,136.063,0,4,Calm
3jjujdWJ72nww5eGnfs2E7,Adore You,Fine Line,Harry Styles,207133,0.676,0.0237,0.771,7.00E-06,0.102,0.569,-3.675,0.0483,99.048,8,4,Calm
6ZQmJVUuXk1Q27d8vkmgm8,Adrenaline,VINCENZO (Original Television Soundtrack) Pt. 3,Solar,206080,0.491,0.028,0.719,1.02E-06,0.0965,0.175,-2.568,0.0345,138.152,0,4,Energetic
3TNNGjgOQ7O8vwAlvlD9Fg,Adrift,Adrift,Cooper Sams,158117,0.382,0.497,0.333,0.918,0.106,0.0486,-15.573,0.0367,84.974,7,4,Calm
0P44AUPRzaIAHNWquN0fGR,Afraid of Heights,Afraid of Heights,Billy Talent,225680,0.543,0.000168,0.991,1.31E-05,0.374,0.766,-2.78,0.0668,150.031,9,4,Energetic
2XBc2jWnvPqNO2LebVtLaY,After The Rain,After The Rain,Comet Blue,116625,0.456,0.993,0.0337,0.948,0.126,0.3,-26.87,0.0334,97.199,0,4,Calm
4DqIljZtyULavbgi2OsBSX,Aftershock,Aftershock,Hannah Jane Lewis,172871,0.778,0.277,0.536,0,0.106,0.667,-5.316,0.0708,129.957,9,4,Energetic
7dJbWJTebGMbC8AXJkLAS4,Again,Again,6o,135079,0.609,0.0134,0.654,2.67E-06,0.452,0.342,-6.844,0.0771,159.965,11,4,Sad
2sKF6YGV5am5vI6eycPoQX,Ah Leke (feat. Sean Paul),Globalization,Pitbull,184360,0.811,0.0437,0.889,0,0.185,0.932,-3.966,0.169,137.979,0,4,Energetic
0ADG9OgdVTL7fgREP75BrZ,Ain't My Fault,So Good,Zara Larsson,224030,0.576,0.00778,0.782,0,0.285,0.355,-4.825,0.0296,141.153,6,4,Energetic
6lV2MSQmRIkycDScNtrBXO,Airplanes (feat. Hayley Williams of Paramore),B.o.B Presents: The Adventures of Bobby Ray,B.o.B,180480,0.66,0.11,0.867,0,0.0368,0.377,-4.285,0.116,93.033,6,4,Energetic
4zlS6uTUQFankHs3wpTEM1,"Airplanes, Pt. II (feat. Eminem & Hayley Williams of Paramore)",B.o.B Presents: The Adventures of Bobby Ray,B.o.B,319293,0.682,0.0043,0.879,0,0.0682,0.409,-4.696,0.177,93.045,6,4,Energetic
0RUTnY2B3s05fZuCHsNaUP,Alien,Alien,Sabrina Carpenter,174840,0.72,0.0588,0.659,0,0.0662,0.567,-4.727,0.0403,105.955,10,4,Happy
5KDeKHT9wILGR7w38RiEIe,Alive,Alive,Krewella,290760,0.663,0.00413,0.822,0.00318,0.234,0.567,-2.909,0.0557,128.002,9,4,Energetic
2rPJcL8gQauA2nBdRyNZZL,Alive,Alive,Paris Blohm,180468,0.494,0.00248,0.847,0,0.0502,0.148,-3.996,0.0537,129.909,0,4,Energetic
1HvCFAUIWQsWV9zud3UhDl,All Falls Down (feat. Juliander),Different World,Alan Walker,198880,0.655,0.253,0.672,0,0.312,0.675,-4.966,0.0581,98.005,1,4,Energetic
4VXIryQMWpIdGgYR4TrjT1,All Girls Are The Same,Goodbye & Good Riddance,Juice WRLD,165819,0.671,0.0769,0.529,0.000335,0.0856,0.203,-7.226,0.307,161.989,0,4,Energetic
4Yxc55NX3tAXC2mHRAhtcW,"All I Want - From ""High School Musical: The Musical: The Series""","All I Want (From ""High School Musical: The Musical: The Series"")",Olivia Rodrigo,177322,0.376,0.0902,0.43,0,0.0912,0.129,-6.585,0.0328,77.599,0,3,Sad
4ZQdynvfiayhdoq5lcuCQ1,All Mirrors,All Mirrors,Angel Olsen,282026,0.429,0.00299,0.689,0.00193,0.152,0.23,-7.38,0.0379,105.04,7,4,Sad
6MM22AtXB7I5gfTErMF0mJ,All My Demons Greeting Me As A Friend (Deluxe),"Murder Song (5, 4, 3, 2, 1) - Acoustic",AURORA,218666,0.398,0.902,0.0887,1.76E-06,0.0873,0.356,-13.683,0.0334,74.797,9,4,Sad
6S6LyCOmUUQuIdre9DSVxd,all my friends are fake,all my friends are fake,Tate McRae,185155,0.711,0.67,0.382,0,0.11,0.516,-7.344,0.0428,104.988,11,4,Energetic
0dXNQ8dckG4eYfEtq9zcva,All Night,Night & Day (Night Edition),The Vamps,197640,0.538,0.0041,0.804,0,0.33,0.507,-5.194,0.0358,144.992,8,4,Energetic
3U4isOIWM3VvDubwSI3y7a,All of Me,Love In The Future (Expanded Edition),John Legend,269560,0.422,0.922,0.264,0,0.132,0.331,-7.064,0.0322,119.93,8,4,Happy
2iyriVrfEXWD7YRfPqub7l,All The Good Sh**. 14 Solid Gold Hits (2000-2008),The Hell Song,Sum 41,199493,0.343,0.000135,0.956,0.00165,0.143,0.553,-5.073,0.0739,173.325,8,4,Energetic
75ls0gurX68lUmMjE7QcsE,all the kids are depressed,glisten,Jeremy Zucker,169973,0.773,0.836,0.437,2.42E-05,0.544,0.707,-8.281,0.0963,103.861,9,4,Sad
1CnPYaKxTVb4LWOtiGOm0m,All Time Low,The Human Condition,Jon Bellion,217603,0.617,0.0584,0.567,0,0.0933,0.505,-4.188,0.0828,90.246,0,4,Sad
0uSGTaHms9ceAxb7L6VLrU,All To Myself,All To Myself,Dan + Shay,169612,0.651,0.23,0.782,0,0.139,0.619,-4.622,0.0303,94.94,1,4,Happy
3LlmKSHR3Rs0Y3KHQLAYDk,Alone,Different World,Alan Walker,160426,0.673,0.229,0.914,0.000478,0.186,0.183,-3.962,0.0496,97.021,10,4,Energetic
0bMbDctzMmTyK2j74j3nF3,"Alone, Pt. II","Alone, Pt. II",Alan Walker,179052,0.67,0.536,0.668,0,0.133,0.608,-4.306,0.0422,88.033,3,4,Energetic
2GYHyAoLWpkxLVa4oYTVko,Alors on danse - Radio Edit,Cheese,Stromae,206066,0.791,0.0994,0.59,0.00203,0.065,0.714,-9.206,0.0793,119.951,1,4,Energetic
5ZCW5CDwhfXJGL2MzxGwhx,alpha waves,alpha waves,Eucalyptic,205127,0.561,0.795,0.314,0.876,0.115,0.0883,-16.989,0.0281,95.931,4,4,Calm
79z9QkhHePTFsSeVw9uyj0,"Alright, Still (Deluxe)",Smile,Lily Allen,196893,0.632,0.00143,0.639,0,0.221,0.733,-5.938,0.0259,95.506,5,4,Happy
0lQaP3ttoUjMprcvRu3yeI,Always,Yours,Isak Danielson,213451,0.691,0.356,0.452,0,0.308,0.55,-8.026,0.0472,112.966,11,4,Sad
4OWZLr2sLv7ueKPHV7JRNP,Anaviosi,Anaviosi,Alexi Musnitsky,174244,0.391,0.995,0.0121,0.946,0.0959,0.118,-24.588,0.0852,68.128,1,4,Calm
6x6XKEUcCJGUACD4Xh7KuP,Anchor,Anchor,Novo Amor,256282,0.486,0.755,0.356,0.861,0.0986,0.111,-13.649,0.0318,117.141,9,4,Sad
5FRWe0PkPj4CQ4fvibzTEh,And Nothing Hurt,I'm Your Man,Spiritualized,268655,0.429,0.475,0.356,0.481,0.125,0.0965,-7.615,0.0282,139.915,0,3,Sad
0L6lVIgGqVHnmR3BIy8GHa,Andromeda,Andromeda,Weyes Blood,280186,0.463,0.367,0.462,0.0012,0.356,0.189,-7.94,0.0272,131.273,1,4,Sad
5hXTMmVXz1Ablgu34BkTz1,Angel's Song,Angel's Song,Arlo Parks,197243,0.693,0.894,0.195,0.0325,0.126,0.315,-15.278,0.0446,116.725,11,4,Sad
2bL2gyO6kBdLkNSkxXNh6x,Animals,V,Maroon 5,231013,0.279,0.000185,0.742,0,0.593,0.328,-6.46,0.0898,189.868,4,4,Energetic
1SSAvErVyid5OXzmtGZKkg,Anthem,Anthem,EDX,158483,0.664,0.00152,0.86,0.894,0.197,0.249,-4.505,0.0345,121.991,7,4,Happy
1ko2lVN0vKGUl9zrU0qSlT,Anthology,Just the Two of Us (feat. Bill Withers),"Grover Washington, Jr.",237106,0.803,0.576,0.488,0.0609,0.0763,0.624,-9.303,0.0803,95.771,1,4,Happy
2T3blUc9Jnui2a0ZhuNOag,Anthology,Smooth Criminal,Alien Ant Farm,209266,0.653,0.00287,0.966,0.0026,0.143,0.874,-4.236,0.0598,126.921,9,4,Energetic
0DRvClQbN9znQ295sx76VC,Antisocialites,Dreams Tonite,Alvvays,196026,0.511,0.0108,0.622,4.51E-06,0.127,0.425,-5.727,0.0242,99.934,2,4,Sad
6ZiSScoPLyeZyIudUBip1V,Anywhere,Phoenix (Deluxe),Rita Ora,215906,0.632,0.038,0.83,0,0.109,0.31,-4.005,0.0547,106.925,11,4,Energetic
3asFGFY3uLjMDmML1p0tYm,Appeal To Reason,Savior,Rise Against,242280,0.339,0.0015,0.931,0.000142,0.425,0.467,-3.425,0.062,112.548,5,4,Energetic
1Xi84slp6FryDSCbzq4UCD,Arcade,Arcade,Duncan Laurence,183624,0.45,0.818,0.329,0.00109,0.135,0.266,-12.603,0.0441,71.884,9,3,Sad
7vcuTZAFyu0Z5dgMRLR0h0,Around The Well,Such Great Heights,Iron & Wine,251280,0.61,0.808,0.275,0.913,0.403,0.552,-10.644,0.028,94.088,6,4,Sad
7CvOnbFdnIoXMQ4eFCo5lB,Around the World (La La La La La) - Radio Version,Planet Pop,A Touch Of Class,214533,0.617,0.153,0.977,0.0016,0.133,0.679,-7.028,0.0276,131.965,9,4,Energetic
4MmMxyew8yq1OEyJOMaX6M,As I Am (feat. Khalid),Justice,Justin Bieber,174406,0.608,0.131,0.547,0,0.0974,0.108,-8.151,0.0368,99.947,11,4,Energetic
72qlZsoVPpyFxVjL6GUuYI,As I Sleep (feat. Charlee),As I Sleep (feat. Charlee),Tobtok,193471,0.694,0.0195,0.824,0.0426,0.327,0.202,-6.306,0.161,123.014,8,4,Energetic
5Iy1wdO0tMaHwKnfFYtlel,As Long As - EP,Cursive,Billie Marten,240400,0.494,0.935,0.267,5.58E-05,0.128,0.166,-11.54,0.0308,115.117,0,3,Sad
0pwYLVXVknPSGUQb39cePC,As Long As You Love Me,Believe (Deluxe Edition),Justin Bieber,229466,0.571,0.0811,0.873,0,0.361,0.613,-3.382,0.1,139.691,0,4,Energetic
2lJa0SY7vZpvJ7QDFanOuZ,Ashes to Ashes,Ashes to Ashes,Warpaint,310226,0.696,0.186,0.871,0.0282,0.173,0.8,-6.482,0.0357,118.938,1,4,Sad
0apsgQi5yIbTMhm1wuvnQf,asphyxia,PURE,Cö Shu Nie,174893,0.192,0.05,0.913,0,0.283,0.39,-3.318,0.15,82.52,5,4,Energetic
3Ofmpyhv5UAQ70mENzB277,Astronaut In The Ocean,Astronaut In The Ocean,Masked Wolf,132780,0.778,0.175,0.695,0,0.15,0.472,-6.865,0.0913,149.996,4,4,Energetic
3hWfKBt3n7j1xqIy6LA5ve,Astronomia,Astronomia,Vicetone,198095,0.653,0.00561,0.945,0.915,0.439,0.326,-2.634,0.096,126.093,5,4,Energetic
2MJz8BxxMsERULatmBikDH,At My Worst,PINK PLANET,Pink Sweat$,170344,0.813,0.777,0.415,0,0.131,0.667,-5.926,0.0349,91.921,0,4,Calm
1PiKcVhlmHPvL7IPjx9dJk,"At Night, Alone.",I Took A Pill In Ibiza,Mike Posner,280800,0.636,0.618,0.319,1.70E-06,0.125,0.378,-10.065,0.0718,74.109,10,4,Sad
5cF0dROlMOK5uNZtivgu50,Attention,Voicenotes,Charlie Puth,208786,0.775,0.109,0.613,2.33E-05,0.134,0.797,-4.586,0.0542,100.066,3,4,Happy
42BtxDRqFTbE6Jb6rd9QOZ,Auburn Sky,Auburn Sky,Toledo Rains,162829,0.265,0.906,0.035,0.89,0.0932,0.0651,-26.502,0.0359,132.972,4,4,Calm
5DiXcVovI0FcY2s0icWWUu,August And Everything After,Mr. Jones,Counting Crows,272293,0.578,0.183,0.817,3.06E-06,0.285,0.726,-6.542,0.0363,141.621,0,4,Happy
4QdwsME04RG25KPHcPYoox,Avenged Sevenfold,Afterlife,Avenged Sevenfold,351560,0.492,0.000444,0.95,6.22E-05,0.22,0.391,-4.195,0.076,110.027,2,4,Energetic
00ZtJgQax06A96l8sMcmlB,Awaken,Awaken,William Duhamel,129936,0.346,0.929,0.0943,0.918,0.102,0.109,-13.632,0.0362,127.006,2,3,Calm
6dB3Uad2TOaJcGKpM3zizO,B-Sides and Rarities,Chariot,Beach House,316507,0.374,0.663,0.426,0.607,0.0886,0.0902,-7.395,0.0315,102.174,10,4,Sad
6vJ6FR4WtlKSxe8lmh3F1C,Baby You're Worth It,Baby You're Worth It,Kina,130925,0.695,0.685,0.253,0.14,0.105,0.264,-15.884,0.0461,120.033,2,4,Sad
7ANhXB1OJBaTb7kDoAJRLq,Bach,"Gottes Zeit ist die allerbeste Zeit, BWV 106: 2a. Gottes Zeit, ist die allerbeste Zeit (Arr. For Piano Four Hands by György Kurtág)",Johann Sebastian Bach,159866,0.566,0.995,0.00792,0.909,0.0874,0.0621,-34.484,0.0445,61.167,3,4,Calm
5aYOZF87pf0hqU5ePWj8YG,Back,Back,Dj Mehmet Tekin,286355,0.752,0.0609,0.974,0.468,0.536,0.386,-3.443,0.0378,130.027,7,4,Energetic
7kpa6MWRrPaF3b6C0DgioK,Back Into Your System,Always,Saliva,231200,0.363,0.0122,0.906,0,0.172,0.371,-4.415,0.0615,181.964,1,4,Energetic
4IMBnBRqm9RALmLrRqfMor,Back To Black,Love Is A Losing Game,Amy Winehouse,154160,0.48,0.317,0.561,0.00641,0.184,0.541,-5.874,0.027,164.791,0,4,Sad
4hQ6UGyWQIGJmHSo0J88JW,Back To You - From 13 Reasons Why – Season 2 Soundtrack,Back To You (From 13 Reasons Why – Season 2 Soundtrack),Selena Gomez,207904,0.601,0.0945,0.724,1.68E-06,0.12,0.508,-4.856,0.0486,102.061,6,4,Energetic
78W8wiUIlQ2SnWY9TVowKZ,Back Where I Belong (feat. Avicii),Back Where I Belong (feat. Avicii),Otto Knows,174202,0.497,0.0306,0.865,0.0679,0.443,0.595,-3.19,0.0644,125.96,0,4,Energetic
6MrVWgw16iHBGRntjRkGQq,Back+,Back+,Ton Snijders,198746,0.383,0.993,0.0197,0.944,0.121,0.113,-28.192,0.0528,67.555,7,3,Calm
04F42oEuKrRComYJfJuyVR,Backyard Boy,Backyard Boy (Stripped),Claire Rosinkranz,129240,0.817,0.323,0.635,0,0.0738,0.454,-7.246,0.163,138.015,5,4,Calm
6PtXobrqImYfnpIxNsJApa,Bad (feat. Vassy) - Radio Edit,Bad (feat. Vassy) [Radio Edit],David Guetta,170625,0.614,0.00125,0.972,0.0186,0.328,0.411,-3.927,0.088,127.966,5,4,Energetic
7y9iMe8SOB6z3NoHE2OfXl,Bad At Love,hopeless fountain kingdom (Deluxe),Halsey,181279,0.675,0.0604,0.751,0,0.0893,0.612,-3.539,0.0296,118.384,0,4,Energetic
21MuKxxxaah6C4fkIHTv2G,Bad Blood,1989 (Deluxe),Taylor Swift,211933,0.646,0.0885,0.794,6.16E-06,0.201,0.287,-6.104,0.19,170.216,7,4,Energetic
0RE4crnT3jRms1xxVlEZx2,Bad boy,Loud,Marwa Loud,187844,0.796,0.431,0.496,5.51E-06,0.0781,0.716,-8.165,0.0388,97.988,9,4,Energetic
64p6ua7zpf66s62StC2QLv,Bad Boy (feat. Luana Kiara),Bad Boy (feat. Luana Kiara),Raaban,190673,0.644,0.13,0.892,0.000113,0.0893,0.767,-1.1,0.0567,180.044,0,4,Energetic
43CIWpJaJHRcI4mUSjqgc2,Bad Boy (with Young Thug),Bad Boy (with Young Thug),Juice WRLD,157355,0.697,0.00215,0.674,0,0.138,0.198,-6.326,0.0533,81.535,1,4,Energetic
1qUaWLUot3Iik95S09cdSZ,Bad Feeling,Bad Feeling,Muzz,157930,0.512,0.351,0.352,0.74,0.106,0.275,-9.093,0.0354,82.943,5,4,Sad
2Fxmhks0bxGSBdJ92vM42m,bad guy,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,194087,0.701,0.328,0.425,0.13,0.1,0.562,-10.965,0.375,135.128,7,4,Energetic
6PQ88X9TkUIAUIZJHW2upE,Bad Habits,Bad Habits,Ed Sheeran,231041,0.808,0.0469,0.897,3.14E-05,0.364,0.591,-3.712,0.0348,126.026,11,4,Energetic
2RSHsoi04658QL5xgQVov3,Bad Liar,Origins (Deluxe),Imagine Dragons,260773,0.383,0.0722,0.637,0,0.368,0.0827,-6.993,0.0703,177.913,3,4,Energetic
6CYT0souHUHKTO4EMzTUFg,bad ones,TOO YOUNG TO BE SAD,Tate McRae,183133,0.692,0.305,0.431,1.39E-05,0.132,0.327,-11.884,0.0335,138.925,6,4,Energetic
2KSCegx6TosQQEgmhJKNQa,Bad Timing,Bad Timing,Arlo Day,254886,0.471,0.689,0.289,0.000535,0.0865,0.225,-9.784,0.0258,146.352,6,4,Sad
70eehEqNug7oAhozjhG21t,Bad Vibe,Bad Vibe,M.O,214253,0.813,0.178,0.701,0,0.0962,0.758,-4.428,0.0449,110.009,10,4,Energetic
4CH66Rxcjcj3VBHwmIBj4T,BAD!,BAD!,XXXTENTACION,94245,0.78,0.0643,0.492,0.0313,0.174,0.374,-3.4,0.0671,143.983,5,4,Energetic
3cBuXDYMPxSb1mKzwMGVhB,Badam,Badam,Hardwell,172427,0.71,0.0102,0.948,0.00039,0.0239,0.425,-1.595,0.0477,103.142,2,4,Energetic
6UFivO2zqqPFPoQYsEMuCc,Bags,Immunity,Clairo,260519,0.742,0.172,0.546,0.38,0.115,0.868,-7.694,0.0315,104.996,1,4,Calm
079Ey5uxL04AKPQgVQwx5h,Baila Conmigo (with Rauw Alejandro),Revelación - EP,Selena Gomez,186087,0.823,0.0215,0.544,0.00315,0.0966,0.664,-7.132,0.0715,149.903,5,4,Energetic
6BcMcVax12vNuOqnPOayZ1,Bailando - English Version,S** AND LOVE,Enrique Iglesias,243240,0.719,0.0793,0.844,0,0.0551,0.941,-3.529,0.103,90.951,7,4,Energetic
65w8nArxPq2EzOAhteymf0,Ballad of the Dying Man,Ballad of the Dying Man,Father John Misty,290736,0.399,0.848,0.443,0.000406,0.0899,0.265,-9.168,0.0272,139.643,5,4,Sad
6a9DN96EWRc56Lwl5YD7KL,Balloon,Balloon,YuMe,143212,0.408,0.987,0.00518,0.929,0.12,0.0381,-29.142,0.0355,72.291,5,3,Calm
2U5cq89GCnsR1yixKkC8d5,Barking,Barking,Ramz,202826,0.45,0.185,0.465,0,0.0782,0.788,-7.867,0.268,70.231,7,3,Energetic
3FQCJI2t5LTbsRPfYVBSVB,Battle Symphony,One More Light,Linkin Park,216281,0.653,0.0369,0.839,0,0.068,0.669,-5.077,0.0685,149.034,10,4,Energetic
27O9FuS1UIm6ZyLplgLQAH,Bayside,Devotion And Desire,Bayside,209626,0.296,0.000702,0.9,0,0.339,0.286,-4.918,0.0922,184.256,2,4,Energetic
08qO8i2K0Hxl0h8PIncyuH,Bayybe,Bayybe 07,Bilo 503,114195,0.44,0.827,0.384,0.934,0.156,0.0912,-12.331,0.0453,127.938,7,4,Calm
3EPXxR3ImUwfayaurPi3cm,Be Alright,Be Alright,Dean Lewis,196373,0.553,0.697,0.586,0,0.0813,0.443,-6.319,0.0362,126.684,11,4,Sad
1FYCLgd1XDdqulxDX5JB3W,Be Together,Mermaid,NI-NI,197600,0.55,0.00109,0.966,3.55E-05,0.293,0.972,-7.637,0.0359,136.02,11,4,Energetic
2bQhVQbV7VBzSOPo8mbkUR,Beach House,Sick Boy,The Chainsmokers,206120,0.4,0.174,0.838,0,0.341,0.533,-4.491,0.0526,179.945,0,4,Energetic
4gEXepH29ZNvpkhqgACBD7,Beat That Bitch,Jetski Trap,Jetskiii,130771,0.919,0.709,0.345,0,0.1,0.694,-15.885,0.109,130.018,1,4,Energetic
4VUwkH455At9kENOfzTqmF,Beautiful (feat. Camila Cabello),Beautiful (feat. Camila Cabello),Bazzi,180000,0.638,0.346,0.717,0,0.105,0.249,-4.722,0.0337,100.027,2,4,Happy
2s25Z079T5KRzfqEQRMQQ4,Beautiful Life,Beautiful Life,Lost Frequencies,161463,0.732,0.127,0.52,0.0347,0.139,0.339,-6.684,0.0376,119.979,2,4,Happy
199PI6mx1IFrDk8ZMtNTyX,Beekweide,Beekweide,Job Roggeveen,219215,0.321,0.984,0.11,0.963,0.115,0.173,-23.63,0.0345,73.914,8,4,Calm
4QNjuUkLHj47tEXgA6TFc3,Beethoven Piano Sonatas,"Piano Sonata No. 14 In C Sharp Minor, Op. 27-2 1st Mvt: Adagio Sostenuto",Ludwig van Beethoven,372173,0.274,0.995,0.00332,0.909,0.175,0.17,-41.45,0.0424,67.765,1,1,Calm
2UTHTASTtmJXiBUmSIXERT,Before I Lose My Mind - Stripped,Before I Lose My Mind (Stripped),Etham,226646,0.635,0.608,0.247,0,0.111,0.181,-11.141,0.0387,124.813,0,4,Calm
2gMXnyrvIjhVBUZwvLZDMP,Before You Go,Divinely Uninspired To A Hellish Extent (Extended Edition),Lewis Capaldi,215106,0.459,0.604,0.575,0,0.0885,0.183,-4.858,0.0573,111.881,3,4,Sad
3Wrjm47oTz2sjIgck11l5e,Beggin',Chosen,Måneskin,211560,0.714,0.127,0.8,0,0.359,0.589,-4.808,0.0504,134.002,11,4,Energetic
2bbhyUWJ5VjdfI3P4PRLu2,Begin to Hope (Special Edition),Samson,Regina Spektor,189335,0.49,0.862,0.193,9.74E-06,0.113,0.184,-9.544,0.0421,89.154,11,4,Sad
6aiHF2IbJr6lG4Vu9em8KF,Believer - Kaskade Remix,Believer (Kaskade Remix),Imagine Dragons,190893,0.73,0.181,0.634,2.24E-06,0.118,0.182,-5.084,0.0509,126.022,10,4,Energetic
5Hroj5K7vLpIG4FNCRIjbP,Best Day Of My Life,"Oh, What A Life",American Authors,194240,0.673,0.0591,0.902,0.000262,0.0558,0.538,-2.392,0.0346,100.012,2,4,Happy
4LpOPF5RXZhS1GLzclhyaT,Best Of,My Favourite Game,The Cardigans,220413,0.594,0.000156,0.766,0.00345,0.086,0.453,-7.598,0.0327,143.482,5,4,Energetic
7dt6x5M1jzdTEt8oCbisTK,Better Now,beerbongs & bentleys,Post Malone,231266,0.68,0.331,0.578,0,0.135,0.341,-5.804,0.04,145.038,10,4,Energetic
6MLHg35rlksBc5OBcdZvJi,Better Than Today,Better Than Today,Rhys Lewis,230353,0.387,0.736,0.234,0,0.084,0.408,-8.861,0.0373,78.65,0,4,Sad
5k5fWendNngd89O8JKoE8L,Better When I'm Dancin',Better When I'm Dancin',Meghan Trainor,176266,0.756,0.53,0.789,0.000711,0.157,0.873,-7.002,0.0324,127.987,2,4,Happy
0yBM8cOHjb6iiMI2eM8pIc,Betty,Betty,Wilson Trouvé,161750,0.171,0.89,0.185,0.94,0.101,0.264,-19.651,0.0348,142.694,9,4,Calm
48fKgzfvTU4U7eyRtIYaHP,Bilionera - Radio Edit,Bilionera,Otilia,185294,0.66,0.0438,0.87,0.0138,0.122,0.807,-1.822,0.0601,170.193,3,4,Energetic
1Oi2zpmL81Q0yScF1zxaC0,"Bills, Bills, Bills",The Writing's On The Wall,Destiny's Child,256026,0.845,0.139,0.576,0,0.0764,0.461,-5.15,0.153,127.641,11,4,Energetic
0tzWCL2uhb2xQDWgG259nU,Billy Talent III,Rusted From the Rain,Billy Talent,254613,0.431,0.000481,0.858,7.65E-06,0.385,0.616,-3.533,0.0306,174.979,7,4,Energetic
